 2016-10-18 19:33:57,452 [P6316/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.2 application starting on ADMIN-ПК
 2016-10-18 19:33:57,474 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-10-18 19:33:57,484 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 10ms)
 2016-10-18 19:33:57,548 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-10-18 19:33:57,832 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 284ms)
 2016-10-18 19:33:57,847 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-10-18 19:33:57,854 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 6ms)
 2016-10-18 19:33:57,854 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-10-18 19:33:57,861 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 6ms)
 2016-10-18 19:33:57,878 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-10-18 19:33:57,883 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 4ms)
 2016-10-18 19:33:57,883 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-10-18 19:33:57,890 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 6ms)
 2016-10-18 19:33:57,926 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-10-18 19:33:57,932 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 5ms)
 2016-10-18 19:33:57,932 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-10-18 19:33:57,939 [P6316/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 6ms)
 2016-10-18 19:33:58,823 [P6316/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-18 19:33:59,016 [P6316/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-18 19:33:59,020 [P6316/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-18 19:33:59,041 [P6316/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-10-18 19:33:59,112 [P6316/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-10-18 19:33:59,112 [P6316/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-10-18 19:33:59,123 [P6316/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1748ms)
